"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Maxwell Lewis","2TM",28,11.7,0.417,0.4,2,0.7,0.6,4.1,NA,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jaylen Clark","MIN",40,13.1,0.467,0.9,1.3,0.7,1,4.1,3.6,0,0,2.1919,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Caleb Houstan","ORL",58,13.6,0.421,0.3,1.3,0.6,0.5,4.1,3.9,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jordan Miller","LAC",37,11.4,0.433,0.9,1.6,0.9,0.6,4.1,7.5,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jalen Pickett","DEN",49,13.6,0.428,0.2,1.4,2.2,0.5,4.1,4.6,0,0,2.3139,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Paul Reed","DET",45,9.7,0.507,0.9,2.7,1,1.5,4.1,3.65,0,0,5.4693,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Gui Santos","GSW",56,13.6,0.458,0.8,3.1,1.4,0.6,4.1,11,0,0,2.2217,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jarred Vanderbilt","LAL",36,16.1,0.488,1,5.1,1.1,1.3,4.1,10,0,0,12.4286,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Colby Jones","2TM",39,13.2,0.457,0.9,2.2,1.1,1,4,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Nicolas Batum","LAC",78,17.5,0.437,0.3,2.8,1.1,1.2,4,7.5,0,0,5.7416,0,0,0,1,1,0,0,0,"Age_4","0 awards"
"Malachi Flynn","CHO",4,11,0.385,1.5,1.8,1.8,0.8,4,3.8,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Ron Harper Jr.","DET",1,17,0.125,2,7,2,0,4,3.65,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Josh Richardson","MIA",8,18.8,0.289,0.5,1.5,1.5,1.1,4,5.7,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Steven Adams","HOU",58,13.7,0.545,1.6,5.6,1.1,0.9,3.9,5.9,0,0,13,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Kyle Lowry","PHI",35,18.8,0.35,0.9,1.9,2.7,1.2,3.9,5.45,0,0,2.2963,0,0,0,1,0,1,0,0,"Age_4","0 awards"
"Olivier-Maxence Prosper","DAL",52,11.2,0.402,1.5,2.4,0.8,0.6,3.9,5.1,0,0,1.0024,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Patty Mills","2TM",29,11.1,0.375,0.5,0.8,0.9,0.5,3.8,NA,0,0,NA,0,0,0,1,0,1,0,0,"Age_4","0 awards"
"Branden Carlson","OKC",32,7.7,0.443,0.6,1.7,0.4,0.9,3.8,4.35,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Devin Carter","SAC",36,11,0.37,1.2,2.1,1.1,0.7,3.8,4.45,0,0,5.8176,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Ousmane Dieng","OKC",37,10.9,0.432,0.4,2.2,0.8,0.7,3.8,4.35,0,0,6.6709,0,0,0,0,0,0,0,0,NA,"0 awards"
"Markieff Morris","2TM",15,11,0.3,0.4,1.5,1.4,0.3,3.7,NA,0,0,NA,0,0,0,1,1,0,0,0,"Age_4","0 awards"
"Emoni Bates","CLE",10,7.5,0.342,0,0.7,0.8,0.2,3.7,4.8,0,0,NA,0,0,0,0,0,0,1,0,NA,"0 awards"
"DeAndre Jordan","DEN",56,12.3,0.65,1.1,5.1,0.9,0.8,3.7,4.6,0,0,NA,0,0,0,1,0,0,0,0,"Age_4","0 awards"
"Craig Porter Jr.","CLE",51,10.1,0.514,0.6,1.3,1.4,0.6,3.7,4.8,0,0,2.3139,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jackson Rowe","GSW",6,8.7,0.471,1,1.8,0.7,0.7,3.7,11,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Blake Wesley","SAS",58,11.8,0.435,1.1,1.1,2,0.7,3.7,4.4,0,0,7.0226,0,0,0,0,0,0,0,1,NA,"0 awards"
"JT Thor","2TM",20,12.5,0.424,1.1,2.4,0.3,0.9,3.6,NA,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Baylor Scheierman","BOS",31,12.4,0.355,0.4,2.1,1.1,0.6,3.6,6.7,0,0,3.4387,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jae'Sean Tate","HOU",52,11.3,0.473,0.9,2.3,0.9,0.6,3.6,5.9,0,0,2.2963,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jaylon Tyson","CLE",47,9.6,0.43,0.5,2,0.9,0.4,3.6,4.8,0,0,4.2642,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Elfrid Payton","2TM",24,21.3,0.328,0.3,3.3,6.9,1.5,3.5,NA,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Luka Garza","MIN",39,5.6,0.495,0.9,1.4,0.3,0.3,3.5,3.6,0,0,2.6314,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Cory Joseph","ORL",50,12.2,0.403,0.4,1.5,1.4,0.6,3.5,3.9,0,0,NA,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Doug McDermott","SAC",42,8.1,0.427,0.1,0.5,0.2,0.1,3.5,4.45,0,0,2.2963,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Dario Šarić","DEN",16,13.1,0.362,0.6,3.1,1.4,0.5,3.5,4.6,0,0,5.4264,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Jamaree Bouyea","MIL",5,12.4,0.5,1.2,1,2,1.2,3.4,4.3,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Bruno Fernando","TOR",17,8.6,0.531,0.5,3,1.1,0.7,3.4,5.4,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Andre Jackson Jr.","MIL",67,14.6,0.477,0.4,2.7,1.2,0.7,3.4,4.3,0,0,2.3139,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Isaac Jones","SAC",40,7.6,0.651,0.9,1.4,0.3,0.4,3.4,4.45,0,0,1.9554,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Kevin Knox","GSW",14,6,0.5,0.6,1.2,0.4,0.4,3.3,11,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Damion Lee","PHO",25,5.8,0.365,0.8,0.8,0.4,0.2,3.3,5.43,0,0,NA,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Jeenathan Williams","HOU",20,7.4,0.435,0.4,0.7,0.5,0.6,3.3,5.9,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Elijah Harkless","UTA",10,13.8,0.314,0.6,2.1,0.8,1.1,3.2,4.1,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Zeke Nnaji","DEN",57,10.7,0.496,0.8,1.6,0.4,1.1,3.2,4.6,0,0,7.7037,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Cam Reddish","LAL",33,17.8,0.404,0.8,2,0.7,1.3,3.2,10,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Delon Wright","2TM",40,15.9,0.344,0.6,1.7,1.9,1.2,3.1,NA,0,0,NA,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Kylor Kelley","2TM",11,11.5,0.636,0.9,3.5,0.5,0.4,3.1,NA,0,0,NA,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Gary Harris","ORL",48,14.8,0.383,0.3,1.3,0.6,0.8,3,3.9,0,0,3.725,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Maxi Kleber","DAL",34,18.7,0.385,0.6,2.8,1.3,0.8,3,5.1,0,0,11,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Taze Moore","POR",2,10,0.2,1,4,0.5,1,3,4.25,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Rayan Rupert","POR",52,8.8,0.408,0.6,1.3,0.5,0.4,3,4.25,0,0,2.2217,0,0,0,0,0,0,0,1,NA,"0 awards"
"P.J. Tucker","NYK",3,19.3,0.429,0,2.7,0,0.6,3,9.75,0,0,3.469,0,0,0,1,0,0,1,0,"Age_4","0 awards"
"Pete Nance","2TM",13,10.6,0.438,0.2,1.6,0.8,0.4,2.9,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Markelle Fultz","SAC",21,8.8,0.418,0,1,1.3,0.6,2.9,4.45,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Taj Gibson","CHO",37,11.1,0.495,0.5,3.2,0.6,0.7,2.9,3.8,0,0,NA,0,0,0,1,0,0,0,0,"Age_4","0 awards"
"Tyler Smith","MIL",23,5.3,0.48,0.3,1.1,0.2,0.3,2.9,4.3,0,0,2.1258,0,0,0,0,1,0,0,0,NA,"0 awards"
"RayJ Dennis","IND",11,6.4,0.333,0.2,1.1,1.3,0.8,2.7,4.2,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"David Duke Jr.","SAS",6,5.7,0.429,0.3,0.8,0.7,0.2,2.7,4.4,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Keshad Johnson","MIA",16,6.1,0.692,0.6,1.8,0.3,0.6,2.7,5.7,0,0,1.9554,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Reece Beekman","2TM",36,13,0.327,0.6,1.1,1.8,1,2.6,NA,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jae Crowder","SAC",9,11.4,0.318,0.7,2.2,0.7,0.3,2.6,4.45,0,0,NA,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Josh Minott","MIN",46,6,0.489,0.4,1,0.4,0.6,2.6,3.6,0,0,2.4817,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Hunter Tyson","DEN",51,7.8,0.375,0.5,1.5,0.4,0.3,2.6,4.6,0,0,2.3139,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jaden Springer","2TM",43,8.5,0.389,0.9,1.3,0.8,0.7,2.5,NA,0,0,0.0707,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Trey Jemison","2TM",38,10.3,0.554,0.9,2.8,0.4,0.6,2.5,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Anthony Gill","WAS",51,7.8,0.489,1,1.3,0.3,0.2,2.5,4.7,0,0,2.2963,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Dillon Jones","OKC",54,10.2,0.383,0.5,2.2,1.1,0.4,2.5,4.35,0,0,2.7533,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Pat Spencer","GSW",39,6.4,0.406,0.4,1.2,1.2,0.5,2.5,11,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Johnny Davis","WAS",34,7.1,0.41,0.4,1.1,0.3,0.6,2.4,4.7,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Christian Koloko","LAL",37,9.2,0.606,0.4,2.5,0.4,0.6,2.4,10,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"John Konchar","MEM",46,12.1,0.451,0.2,3.3,0.9,1,2.4,3.5,0,0,6.165,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"MarJon Beauchamp","3TM",35,4.5,0.415,0.6,1.3,0.3,0.1,2.3,NA,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Bronny James","LAL",27,6.7,0.313,0.5,0.7,0.8,0.4,2.3,10,0,0,2.2462,0,0,0,0,0,0,0,1,NA,"0 awards"
"Mason Jones","SAC",10,4.5,0.5,0.5,0.9,1.1,0.1,2.3,4.45,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Miles Norris","BOS",3,11.7,0.222,0.7,3,0,1,2.3,6.7,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Patrick Baldwin Jr.","2TM",24,4.5,0.543,0.2,1,0.1,0.2,2.2,NA,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Drew Peterson","BOS",25,7.4,0.415,0.4,1.6,0.5,0.3,2.2,6.7,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"TyTy Washington Jr.","PHO",16,7.4,0.311,0.4,0.8,1,0.2,2.2,5.43,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jordan McLaughlin","2TM",46,6.8,0.431,0.5,0.7,1.1,0.3,2.1,NA,0,0,2.2963,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"JD Davison","BOS",16,5.8,0.353,0.4,0.8,0.8,0.4,2.1,6.7,0,0,2.2707,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Chris Duarte","CHI",17,4.4,0.462,0.5,1.2,0.5,0,2.1,6,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Enrique Freeman","IND",22,8.2,0.432,0.9,1.4,0.4,0.2,2.1,4.2,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Johnny Furphy","IND",50,7.6,0.38,0.4,1.4,0.4,0.6,2.1,4.2,0,0,2.2462,0,0,0,0,0,0,0,1,NA,"0 awards"
"Dwight Powell","DAL",55,10,0.689,0.8,2.1,1,0.7,2.1,5.1,0,0,4,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Josh Christopher","MIA",14,4.9,0.355,0.4,0.6,0.6,0.6,2,5.7,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Tyler Kolek","NYK",41,7.2,0.329,0.4,0.7,1.7,0.4,2,9.75,0,0,2.3251,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Adama Sanogo","CHI",4,5.3,0.571,0,1.5,0.3,0,2,6,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Kobe Brown","LAC",40,6.8,0.458,0.2,1.6,0.6,0.3,1.9,7.5,0,0,3.7235,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Ariel Hukporti","NYK",25,8.7,0.677,0.5,2,0.4,0.6,1.9,9.75,0,0,1.9554,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Bobi Klintman","DET",8,5.3,0.6,0.3,0.9,0.9,0.4,1.9,3.65,0,0,2.2462,0,0,0,0,0,0,1,0,NA,"0 awards"
"Garrett Temple","TOR",28,8.1,0.3,0.4,1,1.1,0.7,1.9,5.4,0,0,2.2963,0,0,0,1,0,0,0,1,"Age_4","0 awards"
"Jericho Sims","2TM",53,11.9,0.634,0.2,3.7,0.6,0.6,1.8,NA,0,0,2.6314,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Vlatko Čančar","DEN",13,10.5,0.385,0,2.5,0.7,0.4,1.8,4.6,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Adam Flagler","OKC",37,5.5,0.26,0.1,0.7,0.3,0.3,1.8,4.35,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Trentyn Flowers","LAC",6,4.5,0.364,0.5,0.7,0,0,1.8,7.5,0,0,NA,0,0,0,0,0,0,1,0,NA,"0 awards"
"E.J. Liddell","CHI",12,4.4,0.533,0.2,0.8,0.3,0.2,1.8,6,0,0,0.7069,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jahmir Young","CHI",6,5,0.8,0.3,0.5,1,0,1.8,6,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Pacome Dadiet","NYK",18,6.2,0.323,0.3,1,0.3,0.3,1.7,9.75,0,0,3.735,0,0,0,0,0,0,0,1,NA,"0 awards"
"Alex Ducas","OKC",21,6,0.4,0.1,1.2,0.2,0.2,1.7,4.35,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"PJ Hall","DEN",19,3.5,0.583,0.2,1.2,0.2,0.2,1.7,4.6,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Emanuel Miller","CHI",6,4.2,0.5,0.3,1.3,0.3,0.2,1.7,6,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Tristan Thompson","CLE",40,8.2,0.437,0.8,3.4,0.6,0.4,1.7,4.8,0,0,NA,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Alex Len","2TM",46,8.3,0.508,0.4,2.1,0.8,0.7,1.6,NA,0,0,NA,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Yuki Kawamura","MEM",22,4.2,0.367,0.4,0.5,0.9,0.1,1.6,3.5,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jack McVeigh","HOU",9,4.8,0.294,0,0.6,0.1,0.2,1.6,5.9,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Armel Traoré","LAL",9,7.4,0.316,0.8,1.7,0.1,0.6,1.6,10,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jordan Walsh","BOS",52,7.8,0.361,0.2,1.3,0.4,0.4,1.6,6.7,0,0,2.3139,0,0,0,0,1,0,0,0,NA,"0 awards"
"Phillip Wheeler","PHI",5,8.8,0.143,0.4,1.6,0.4,0.6,1.6,5.45,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Sidy Cissoko","2TM",22,5.2,0.433,0.4,1,0.7,0.1,1.5,NA,0,0,NA,0,0,0,0,0,0,1,0,NA,"0 awards"
"Jazian Gortman","DAL",16,3.6,0.391,0.3,0.3,0.4,0.2,1.5,5.1,0,0,NA,0,0,0,0,0,1,0,0,NA,"0 awards"
"Kevin McCullar Jr.","NYK",4,7.3,0.286,0.5,2,0.5,0.6,1.5,9.75,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Leonard Miller","MIN",13,2.5,0.4,0.6,0.8,0,0.3,1.5,3.6,0,0,2.3139,0,0,0,0,0,0,1,0,NA,"0 awards"
"Quincy Olivari","LAL",2,5,0.2,0,0,0.5,0,1.5,10,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Matt Ryan","NYK",19,3.6,0.323,0.1,0.4,0.2,0.1,1.5,9.75,0,0,NA,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jacob Toppin","2TM",17,4.5,0.409,0,0.9,0.4,0.1,1.4,NA,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Cam Christie","LAC",13,4.5,0.292,0.3,0.9,0.5,0.5,1.4,7.5,0,0,2.2462,0,0,0,0,0,0,0,1,NA,"0 awards"
"Chris Livingston","MIL",21,5,0.333,0.8,1.7,0.2,0.2,1.4,4.3,0,0,NA,0,0,0,0,0,0,1,0,NA,"0 awards"
"Trey Alexander","DEN",24,4.9,0.317,0.2,0.5,0.5,0.1,1.3,4.6,0,0,NA,0,0,0,0,0,0,0,1,NA,"0 awards"
"Spencer Jones","DEN",20,6.3,0.324,0.2,0.9,0.3,0.6,1.3,4.6,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Skal Labissière","SAC",4,3,0.5,0,0.8,0.3,0,1.3,4.45,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Jalen Bridges","PHO",8,3.8,0.286,0.5,0.5,0,0,1.1,5.43,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Yuri Collins","GSW",2,8,0.333,0,1.5,2,1,1,11,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Daniss Jenkins","DET",7,3.3,0.3,0.3,0.3,0.4,0,1,3.65,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Braxton Key","GSW",3,3.7,0,2,0.7,0,0.7,1,11,0,0,NA,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Bryce McGowens","POR",13,2.5,0.286,0.5,0.2,0.2,0.1,1,4.25,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Xavier Tillman Sr.","BOS",33,7,0.245,0.1,1.3,0.2,0.5,1,6.7,0,0,2.5467,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Luke Travers","CLE",12,7.3,0.25,0.2,1.7,0.7,0.2,1,4.8,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Isaiah Crawford","SAC",15,3.1,0.455,0.3,0.5,0.1,0.2,0.9,4.45,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Justin Minaya","POR",19,5.3,0.381,0.1,0.5,0.4,0.4,0.9,4.25,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Anton Watson","NYK",9,2.4,0.444,0,0.3,0.2,0.1,0.9,9.75,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"D.J. Carton","TOR",4,8.3,0.143,0.3,1,0.8,0.5,0.8,5.4,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"PJ Dozier","MIN",9,3.9,0.667,0.7,0.6,0.6,0.1,0.8,3.6,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Joe Ingles","MIN",19,6,0.261,0,0.6,1.2,0.1,0.8,3.6,0,0,2.2963,0,0,0,1,0,0,1,0,"Age_4","0 awards"
"Harrison Ingram","SAS",5,7,0.5,0,1.8,0.6,0.6,0.8,4.4,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Ulrich Chomche","TOR",7,4.6,0.4,0.3,1.1,0.3,0.1,0.7,5.4,0,0,NA,0,0,0,0,1,0,0,0,NA,"0 awards"
"James Johnson","IND",12,3.1,0.364,0.1,0.5,0.3,0.2,0.7,4.2,0,0,NA,0,0,0,1,1,0,0,0,"Age_4","0 awards"
"Liam Robbins","MIL",13,4.4,0.25,0.8,0.9,0.2,0.4,0.7,4.3,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Stanley Umude","MIL",22,3.9,0.192,0.2,0.8,0.2,0.4,0.7,4.3,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Cui Yongxi","BRK",5,2,0.143,0.4,0.4,0,0,0.6,5.6,0,0,NA,0,0,0,0,0,0,0,1,NA,"0 awards"
"Tristen Newton","2TM",8,2,0.125,0.1,0.5,0.3,0.1,0.4,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Malevy Leons","OKC",6,3.5,0,0.7,0.5,0.2,0,0.3,4.35,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Daishen Nix","MIN",3,4.3,0,0.7,1.3,1,0,0.3,3.6,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Terence Davis","SAC",1,8,0,0,1,1,0,0,4.45,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jesse Edwards","MIN",2,2.5,NA,0,0,0.5,0,0,3.6,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Mac McClung","ORL",2,5,0,0,0.5,1.5,0,0,3.9,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jalen McDaniels","WAS",4,1.8,NA,0,0,0.3,0.3,0,4.7,0,0,NA,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Riley Minix","SAS",1,7,0,0,2,0,0,0,4.4,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jahlil Okafor","IND",1,3,NA,0,1,1,0,0,4.2,0,0,NA,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Zyon Pullin","MEM",3,1,0,0,0,0,0,0,3.5,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Isaiah Stevens","MIA",3,2,0,0,0.7,0,0.3,0,5.7,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Terry Taylor","SAC",3,2,0,0,0.3,0.7,0,0,4.45,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"League Average","",NA,NA,0.467,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,"0 awards"
