"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Jeff Dowtin Jr.","PHI",41,15.1,0.487,1.1,1.5,1.9,0.9,7,5.45,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Marcus Garrett","CHO",4,19.8,0.407,1,1.5,3.3,1.3,7,3.8,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Isaiah Jackson","IND",5,16.8,0.609,2.8,5.6,1,2.2,7,4.2,0,0,7,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Jaylen Sims","CHO",6,18.7,0.429,2.5,1,2,0.7,7,3.8,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Orlando Robinson","2TM",44,17.5,0.444,1.6,5,1.8,0.8,6.9,NA,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Jake LaRavia","2TM",66,20.4,0.475,1.7,3.9,2.4,1.2,6.9,NA,0,0,6,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Ryan Dunn","PHO",74,19.1,0.43,0.5,3.6,0.8,1.1,6.9,5.43,0,0,3.4892,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jay Huff","MEM",64,11.7,0.515,0.9,2,0.6,1.2,6.9,3.5,0,0,2.6742,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Cameron Payne","NYK",72,15.1,0.401,0.8,1.4,2.8,0.7,6.9,9.75,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Antonio Reeves","NOP",44,15,0.456,0.8,1.4,0.9,0.6,6.9,3.55,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Cody Martin","2TM",53,22.1,0.418,1.2,4.2,2,1.7,6.8,NA,0,0,NA,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Bol Bol","PHO",36,12.4,0.525,0.7,2.9,0.6,1,6.8,5.43,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Eric Gordon","PHI",39,19.7,0.426,1.2,1.2,1.7,1,6.8,5.45,0,0,2.2963,0,0,0,1,0,0,0,1,"Age_4","0 awards"
"Jaxson Hayes","LAL",56,19.5,0.722,1.8,4.8,1,1.5,6.8,10,0,0,3.4493,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Marcus Bagley","PHI",10,25.3,0.391,1,7,1,2.1,6.7,5.45,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"DaQuan Jeffries","CHO",47,22.8,0.405,0.6,2.9,1.1,1.1,6.7,3.8,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Lester Quiñones","2TM",13,14.1,0.397,1,1.5,1.8,0.4,6.6,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Vasilije Micić","2TM",41,19.1,0.348,1,2.2,3.1,0.4,6.6,NA,0,0,8.1092,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Precious Achiuwa","NYK",57,20.5,0.502,1.2,5.6,1,1.5,6.6,9.75,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Trayce Jackson-Davis","GSW",62,15.6,0.576,1.6,5,1.7,1,6.6,11,0,0,2.3139,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Marcus Sasser","DET",57,14.2,0.463,0.9,1.2,2.3,0.7,6.6,3.65,0,0,4.0429,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Vince Williams Jr.","MEM",27,18.5,0.401,0.9,3.6,2,0.7,6.6,3.5,0,0,2.3957,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Thomas Bryant","2TM",66,14.6,0.508,1,3.8,0.8,1,6.5,NA,0,0,2.2963,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Donovan Clingan","POR",67,19.8,0.539,1.6,7.9,1.1,2.1,6.5,4.25,0,0,8.0829,0,0,0,0,0,0,0,0,NA,"0 awards"
"Seth Curry","CHO",68,15.6,0.478,0.6,1.7,0.9,0.5,6.5,3.8,0,0,NA,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Haywood Highsmith","MIA",74,24.6,0.458,0.6,3.4,1.5,1.4,6.5,5.7,0,0,5.616,0,1,0,0,0,0,1,0,"Age_2","0 awards"
