Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Isaiah Wong,24.0,CHO,20.0,0.0,13.3,5.3,0.39,1.7,1.6,1.4,0.6,6.0,3.8,,0,1,0,0,,1,0,0,0,0,0,0,1
Cole Swider,25.0,2TM,10.0,0.0,16.9,6.3,0.349,0.1,2.7,0.3,0.6,5.9,,,0,1,0,0,,1,0,0,0,0,0,1,0
Chuma Okeke,26.0,2TM,9.0,3.0,21.8,4.4,0.5,0.3,5.2,1.7,1.0,5.9,,,0,1,0,0,2.5467,1,0,0,0,1,0,0,0
Kyle Anderson,31.0,2TM,61.0,4.0,16.4,5.0,0.469,1.1,3.4,2.4,1.2,5.9,,,0,1,0,0,9.439,0,1,0,0,1,0,0,0
Simone Fontecchio,29.0,DET,75.0,0.0,16.5,5.0,0.402,1.1,2.9,0.9,0.6,5.9,3.65,,0,1,0,0,8.3077,0,1,0,0,0,0,1,0
Collin Gillespie,25.0,PHO,33.0,9.0,14.0,4.8,0.43,0.7,2.4,2.4,0.8,5.9,5.43,,0,1,0,0,2.2963,1,0,0,0,0,1,0,0
Tidjane Salaün,19.0,CHO,60.0,10.0,20.7,5.8,0.33,1.6,4.7,1.2,0.7,5.9,3.8,,0,1,0,0,8.8489,0,0,0,0,1,0,0,0
Jaylin Williams,22.0,OKC,47.0,9.0,16.7,4.7,0.439,0.6,5.6,2.6,1.1,5.9,4.35,,0,1,0,0,8.0,1,0,0,0,1,0,0,0
Moses Brown,25.0,2TM,13.0,2.0,9.2,3.8,0.694,0.8,3.4,0.2,0.8,5.8,,,0,1,0,0,,1,0,0,0,0,0,0,0
Adem Bona,21.0,PHI,58.0,11.0,15.6,3.3,0.703,1.7,4.2,0.5,1.6,5.8,5.45,,0,1,0,0,2.2462,0,0,0,0,0,0,0,0
Quenton Jackson,26.0,IND,28.0,7.0,13.6,4.4,0.475,1.4,1.6,1.9,1.0,5.8,4.2,,0,1,0,0,,1,0,0,0,0,1,0,0
Robert Williams,27.0,POR,20.0,3.0,17.6,3.9,0.641,0.9,5.9,1.1,2.4,5.8,4.25,,0,1,0,0,13.2857,0,1,0,0,0,0,0,0
Moussa Diabaté,23.0,CHO,71.0,8.0,17.5,3.9,0.596,1.6,6.2,0.8,1.2,5.7,3.8,,0,1,0,0,2.3661,1,0,0,0,0,0,0,0
Dariq Whitehead,20.0,BRK,20.0,0.0,12.3,4.8,0.406,0.3,1.5,0.6,0.4,5.7,5.6,,0,1,0,0,3.2626,0,0,0,0,0,0,1,0
Landry Shamet,27.0,NYK,50.0,0.0,15.2,4.6,0.461,0.4,1.2,0.5,0.5,5.7,9.75,,0,1,0,0,2.2963,0,1,0,0,0,0,0,1
Jordan Goodwin,26.0,LAL,29.0,5.0,18.7,5.0,0.438,0.4,3.9,1.4,1.4,5.6,10.0,,0,1,0,0,2.3496,1,0,0,0,0,1,0,0
Shake Milton,28.0,2TM,57.0,2.0,14.7,4.5,0.453,1.0,1.8,1.8,0.5,5.5,,,0,1,0,0,3.1437,0,1,0,0,0,0,0,1
