Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Jamaree Bouyea,25.0,MIL,5.0,1.0,12.4,2.4,0.5,1.2,1.0,2.0,1.2,3.4,4.3,,0,1,0,0,,1,0,0,0,0,1,0,0
Bruno Fernando,26.0,TOR,17.0,2.0,8.6,2.9,0.531,0.5,3.0,1.1,0.7,3.4,5.4,,0,1,0,0,,1,0,0,0,0,0,0,0
Andre Jackson Jr.,23.0,MIL,67.0,43.0,14.6,2.9,0.477,0.4,2.7,1.2,0.7,3.4,4.3,,0,1,0,0,2.3139,1,0,0,0,0,0,0,1
Isaac Jones,24.0,SAC,40.0,0.0,7.6,2.1,0.651,0.9,1.4,0.3,0.4,3.4,4.45,,0,1,0,0,1.9554,1,0,0,0,1,0,0,0
Kevin Knox,25.0,GSW,14.0,0.0,6.0,2.6,0.5,0.6,1.2,0.4,0.4,3.3,11.0,,0,1,0,0,,1,0,0,0,0,0,1,0
Damion Lee,32.0,PHO,25.0,0.0,5.8,3.0,0.365,0.8,0.8,0.4,0.2,3.3,5.43,,0,1,0,0,,0,0,1,0,0,0,0,1
Jeenathan Williams,25.0,HOU,20.0,0.0,7.4,3.1,0.435,0.4,0.7,0.5,0.6,3.3,5.9,,0,1,0,0,,1,0,0,0,0,0,0,1
Elijah Harkless,24.0,UTA,10.0,0.0,13.8,3.5,0.314,0.6,2.1,0.8,1.1,3.2,4.1,,0,1,0,0,,1,0,0,0,0,0,0,1
Zeke Nnaji,24.0,DEN,57.0,4.0,10.7,2.5,0.496,0.8,1.6,0.4,1.1,3.2,4.6,,0,1,0,0,7.7037,1,0,0,0,1,0,0,0
Cam Reddish,25.0,LAL,33.0,8.0,17.8,2.8,0.404,0.8,2.0,0.7,1.3,3.2,10.0,,0,1,0,0,,1,0,0,0,0,0,1,0
Delon Wright,32.0,2TM,40.0,7.0,15.9,3.3,0.344,0.6,1.7,1.9,1.2,3.1,,,0,1,0,0,,0,0,1,0,0,1,0,0
Kylor Kelley,27.0,2TM,11.0,2.0,11.5,2.0,0.636,0.9,3.5,0.5,0.4,3.1,,,0,1,0,0,,0,1,0,0,0,0,0,0
Gary Harris,30.0,ORL,48.0,3.0,14.8,2.8,0.383,0.3,1.3,0.6,0.8,3.0,3.9,,0,1,0,0,3.725,0,1,0,0,0,0,0,1
Maxi Kleber,33.0,DAL,34.0,4.0,18.7,2.8,0.385,0.6,2.8,1.3,0.8,3.0,5.1,,0,1,0,0,11.0,0,0,1,0,1,0,0,0
Taze Moore,26.0,POR,2.0,0.0,10.0,5.0,0.2,1.0,4.0,0.5,1.0,3.0,4.25,,0,1,0,0,,1,0,0,0,0,0,0,1
Rayan Rupert,20.0,POR,52.0,0.0,8.8,2.7,0.408,0.6,1.3,0.5,0.4,3.0,4.25,,0,1,0,0,2.2217,0,0,0,0,0,0,0,1
P.J. Tucker,39.0,NYK,3.0,1.0,19.3,2.3,0.429,0.0,2.7,0.0,0.6,3.0,9.75,,0,1,0,0,3.469,0,0,0,1,0,0,1,0
Pete Nance,24.0,2TM,13.0,1.0,10.6,2.5,0.438,0.2,1.6,0.8,0.4,2.9,,,0,1,0,0,,1,0,0,0,0,0,0,0
Markelle Fultz,26.0,SAC,21.0,0.0,8.8,3.2,0.418,0.0,1.0,1.3,0.6,2.9,4.45,,0,1,0,0,,1,0,0,0,0,1,0,0
Taj Gibson,39.0,CHO,37.0,11.0,11.1,2.6,0.495,0.5,3.2,0.6,0.7,2.9,3.8,,0,1,0,0,,0,0,0,1,0,0,0,0
Tyler Smith,20.0,MIL,23.0,0.0,5.3,2.2,0.48,0.3,1.1,0.2,0.3,2.9,4.3,,0,1,0,0,2.1258,0,0,0,0,1,0,0,0
RayJ Dennis,23.0,IND,11.0,0.0,6.4,3.0,0.333,0.2,1.1,1.3,0.8,2.7,4.2,,0,1,0,0,,1,0,0,0,0,1,0,0
David Duke Jr.,25.0,SAS,6.0,0.0,5.7,2.3,0.429,0.3,0.8,0.7,0.2,2.7,4.4,,0,1,0,0,,1,0,0,0,0,0,0,1
Keshad Johnson,23.0,MIA,16.0,0.0,6.1,1.6,0.692,0.6,1.8,0.3,0.6,2.7,5.7,,0,1,0,0,1.9554,1,0,0,0,0,0,1,0
Reece Beekman,23.0,2TM,36.0,4.0,13.0,3.0,0.327,0.6,1.1,1.8,1.0,2.6,,,0,1,0,0,,1,0,0,0,0,1,0,0
Jae Crowder,34.0,SAC,9.0,2.0,11.4,2.4,0.318,0.7,2.2,0.7,0.3,2.6,4.45,,0,1,0,0,,0,0,1,0,1,0,0,0
Josh Minott,22.0,MIN,46.0,0.0,6.0,2.0,0.489,0.4,1.0,0.4,0.6,2.6,3.6,,0,1,0,0,2.4817,1,0,0,0,0,0,1,0
Hunter Tyson,24.0,DEN,51.0,2.0,7.8,2.4,0.375,0.5,1.5,0.4,0.3,2.6,4.6,,0,1,0,0,2.3139,1,0,0,0,1,0,0,0
Jaden Springer,22.0,2TM,43.0,2.0,8.5,2.1,0.389,0.9,1.3,0.8,0.7,2.5,,,0,1,0,0,0.0707,1,0,0,0,0,1,0,0
Trey Jemison,25.0,2TM,38.0,0.0,10.3,1.9,0.554,0.9,2.8,0.4,0.6,2.5,,,0,1,0,0,,1,0,0,0,0,0,0,0
Anthony Gill,32.0,WAS,51.0,0.0,7.8,1.7,0.489,1.0,1.3,0.3,0.2,2.5,4.7,,0,1,0,0,2.2963,0,0,1,0,1,0,0,0
Dillon Jones,23.0,OKC,54.0,3.0,10.2,2.5,0.383,0.5,2.2,1.1,0.4,2.5,4.35,,0,1,0,0,2.7533,1,0,0,0,0,0,1,0
Pat Spencer,28.0,GSW,39.0,0.0,6.4,2.6,0.406,0.4,1.2,1.2,0.5,2.5,11.0,,0,1,0,0,,0,1,0,0,0,1,0,0
Johnny Davis,22.0,WAS,34.0,0.0,7.1,2.3,0.41,0.4,1.1,0.3,0.6,2.4,4.7,,0,1,0,0,,1,0,0,0,0,0,0,1
Christian Koloko,24.0,LAL,37.0,0.0,9.2,1.8,0.606,0.4,2.5,0.4,0.6,2.4,10.0,,0,1,0,0,,1,0,0,0,0,0,0,0
John Konchar,28.0,MEM,46.0,4.0,12.1,2.0,0.451,0.2,3.3,0.9,1.0,2.4,3.5,,0,1,0,0,6.165,0,1,0,0,0,0,0,1
MarJon Beauchamp,24.0,3TM,35.0,0.0,4.5,1.9,0.415,0.6,1.3,0.3,0.1,2.3,,,0,1,0,0,,1,0,0,0,0,0,1,0
Bronny James,20.0,LAL,27.0,1.0,6.7,2.5,0.313,0.5,0.7,0.8,0.4,2.3,10.0,,0,1,0,0,2.2462,0,0,0,0,0,0,0,1
Mason Jones,26.0,SAC,10.0,0.0,4.5,1.8,0.5,0.5,0.9,1.1,0.1,2.3,4.45,,0,1,0,0,,1,0,0,0,0,0,0,1
Miles Norris,24.0,BOS,3.0,0.0,11.7,3.0,0.222,0.7,3.0,0.0,1.0,2.3,6.7,,0,1,0,0,,1,0,0,0,1,0,0,0
Patrick Baldwin Jr.,22.0,2TM,24.0,0.0,4.5,1.5,0.543,0.2,1.0,0.1,0.2,2.2,,,0,1,0,0,,1,0,0,0,0,0,1,0
Drew Peterson,25.0,BOS,25.0,1.0,7.4,1.6,0.415,0.4,1.6,0.5,0.3,2.2,6.7,,0,1,0,0,,1,0,0,0,1,0,0,0
TyTy Washington Jr.,23.0,PHO,16.0,0.0,7.4,2.8,0.311,0.4,0.8,1.0,0.2,2.2,5.43,,0,1,0,0,,1,0,0,0,0,1,0,0
Jordan McLaughlin,28.0,2TM,46.0,0.0,6.8,1.6,0.431,0.5,0.7,1.1,0.3,2.1,,,0,1,0,0,2.2963,0,1,0,0,0,1,0,0
JD Davison,22.0,BOS,16.0,0.0,5.8,2.1,0.353,0.4,0.8,0.8,0.4,2.1,6.7,,0,1,0,0,2.2707,1,0,0,0,0,1,0,0
Chris Duarte,27.0,CHI,17.0,0.0,4.4,1.5,0.462,0.5,1.2,0.5,0.0,2.1,6.0,,0,1,0,0,,0,1,0,0,0,0,0,1
Enrique Freeman,24.0,IND,22.0,1.0,8.2,1.7,0.432,0.9,1.4,0.4,0.2,2.1,4.2,,0,1,0,0,,1,0,0,0,1,0,0,0
Johnny Furphy,20.0,IND,50.0,0.0,7.6,1.8,0.38,0.4,1.4,0.4,0.6,2.1,4.2,,0,1,0,0,2.2462,0,0,0,0,0,0,0,1
Dwight Powell,33.0,DAL,55.0,3.0,10.0,1.1,0.689,0.8,2.1,1.0,0.7,2.1,5.1,,0,1,0,0,4.0,0,0,1,0,0,0,0,0
Josh Christopher,23.0,MIA,14.0,0.0,4.9,2.2,0.355,0.4,0.6,0.6,0.6,2.0,5.7,,0,1,0,0,,1,0,0,0,0,0,0,1
Tyler Kolek,23.0,NYK,41.0,0.0,7.2,2.0,0.329,0.4,0.7,1.7,0.4,2.0,9.75,,0,1,0,0,2.3251,1,0,0,0,0,1,0,0
Adama Sanogo,22.0,CHI,4.0,0.0,5.3,1.8,0.571,0.0,1.5,0.3,0.0,2.0,6.0,,0,1,0,0,,1,0,0,0,0,0,0,0
Kobe Brown,25.0,LAC,40.0,0.0,6.8,1.8,0.458,0.2,1.6,0.6,0.3,1.9,7.5,,0,1,0,0,3.7235,1,0,0,0,1,0,0,0
Ariel Hukporti,22.0,NYK,25.0,1.0,8.7,1.2,0.677,0.5,2.0,0.4,0.6,1.9,9.75,,0,1,0,0,1.9554,1,0,0,0,0,0,0,0
Bobi Klintman,21.0,DET,8.0,0.0,5.3,1.3,0.6,0.3,0.9,0.9,0.4,1.9,3.65,,0,1,0,0,2.2462,0,0,0,0,0,0,1,0
Garrett Temple,38.0,TOR,28.0,0.0,8.1,2.1,0.3,0.4,1.0,1.1,0.7,1.9,5.4,,0,1,0,0,2.2963,0,0,0,1,0,0,0,1
Jericho Sims,26.0,2TM,53.0,5.0,11.9,1.3,0.634,0.2,3.7,0.6,0.6,1.8,,,0,1,0,0,2.6314,1,0,0,0,0,0,0,0
Vlatko Čančar,27.0,DEN,13.0,0.0,10.5,2.0,0.385,0.0,2.5,0.7,0.4,1.8,4.6,,0,1,0,0,,0,1,0,0,1,0,0,0
Adam Flagler,25.0,OKC,37.0,0.0,5.5,2.6,0.26,0.1,0.7,0.3,0.3,1.8,4.35,,0,1,0,0,,1,0,0,0,0,0,0,1
Trentyn Flowers,19.0,LAC,6.0,0.0,4.5,1.8,0.364,0.5,0.7,0.0,0.0,1.8,7.5,,0,1,0,0,,0,0,0,0,0,0,1,0
E.J. Liddell,24.0,CHI,12.0,0.0,4.4,1.3,0.533,0.2,0.8,0.3,0.2,1.8,6.0,,0,1,0,0,0.7069,1,0,0,0,1,0,0,0
Jahmir Young,24.0,CHI,6.0,0.0,5.0,0.8,0.8,0.3,0.5,1.0,0.0,1.8,6.0,,0,1,0,0,,1,0,0,0,0,1,0,0
Pacome Dadiet,19.0,NYK,18.0,0.0,6.2,1.7,0.323,0.3,1.0,0.3,0.3,1.7,9.75,,0,1,0,0,3.735,0,0,0,0,0,0,0,1
Alex Ducas,24.0,OKC,21.0,0.0,6.0,1.4,0.4,0.1,1.2,0.2,0.2,1.7,4.35,,0,1,0,0,,1,0,0,0,0,0,0,1
PJ Hall,22.0,DEN,19.0,0.0,3.5,1.3,0.583,0.2,1.2,0.2,0.2,1.7,4.6,,0,1,0,0,,1,0,0,0,0,0,0,0
Emanuel Miller,24.0,CHI,6.0,0.0,4.2,1.3,0.5,0.3,1.3,0.3,0.2,1.7,6.0,,0,1,0,0,,1,0,0,0,1,0,0,0
Tristan Thompson,33.0,CLE,40.0,0.0,8.2,1.8,0.437,0.8,3.4,0.6,0.4,1.7,4.8,,0,1,0,0,,0,0,1,0,0,0,0,0
Alex Len,31.0,2TM,46.0,7.0,8.3,1.4,0.508,0.4,2.1,0.8,0.7,1.6,,,0,1,0,0,,0,1,0,0,0,0,0,0
Yuki Kawamura,23.0,MEM,22.0,0.0,4.2,1.4,0.367,0.4,0.5,0.9,0.1,1.6,3.5,,0,1,0,0,,1,0,0,0,0,1,0,0
Jack McVeigh,28.0,HOU,9.0,0.0,4.8,1.9,0.294,0.0,0.6,0.1,0.2,1.6,5.9,,0,1,0,0,,0,1,0,0,1,0,0,0
Armel Traoré,22.0,LAL,9.0,0.0,7.4,2.1,0.316,0.8,1.7,0.1,0.6,1.6,10.0,,0,1,0,0,,1,0,0,0,0,0,1,0
Jordan Walsh,20.0,BOS,52.0,1.0,7.8,1.6,0.361,0.2,1.3,0.4,0.4,1.6,6.7,,0,1,0,0,2.3139,0,0,0,0,1,0,0,0
Phillip Wheeler,22.0,PHI,5.0,0.0,8.8,4.2,0.143,0.4,1.6,0.4,0.6,1.6,5.45,,0,1,0,0,,1,0,0,0,1,0,0,0
Sidy Cissoko,20.0,2TM,22.0,0.0,5.2,1.4,0.433,0.4,1.0,0.7,0.1,1.5,,,0,1,0,0,,0,0,0,0,0,0,1,0
Jazian Gortman,21.0,DAL,16.0,0.0,3.6,1.4,0.391,0.3,0.3,0.4,0.2,1.5,5.1,,0,1,0,0,,0,0,0,0,0,1,0,0
Kevin McCullar Jr.,23.0,NYK,4.0,0.0,7.3,1.8,0.286,0.5,2.0,0.5,0.6,1.5,9.75,,0,1,0,0,,1,0,0,0,0,0,1,0
Leonard Miller,21.0,MIN,13.0,0.0,2.5,1.2,0.4,0.6,0.8,0.0,0.3,1.5,3.6,,0,1,0,0,2.3139,0,0,0,0,0,0,1,0
Quincy Olivari,23.0,LAL,2.0,0.0,5.0,2.5,0.2,0.0,0.0,0.5,0.0,1.5,10.0,,0,1,0,0,,1,0,0,0,0,1,0,0
Matt Ryan,27.0,NYK,19.0,0.0,3.6,1.6,0.323,0.1,0.4,0.2,0.1,1.5,9.75,,0,1,0,0,,0,1,0,0,0,0,1,0
Jacob Toppin,24.0,2TM,17.0,0.0,4.5,1.3,0.409,0.0,0.9,0.4,0.1,1.4,,,0,1,0,0,,1,0,0,0,0,0,1,0
Cam Christie,19.0,LAC,13.0,0.0,4.5,1.8,0.292,0.3,0.9,0.5,0.5,1.4,7.5,,0,1,0,0,2.2462,0,0,0,0,0,0,0,1
Chris Livingston,21.0,MIL,21.0,1.0,5.0,1.3,0.333,0.8,1.7,0.2,0.2,1.4,4.3,,0,1,0,0,,0,0,0,0,0,0,1,0
Trey Alexander,21.0,DEN,24.0,0.0,4.9,1.7,0.317,0.2,0.5,0.5,0.1,1.3,4.6,,0,1,0,0,,0,0,0,0,0,0,0,1
Spencer Jones,23.0,DEN,20.0,0.0,6.3,1.7,0.324,0.2,0.9,0.3,0.6,1.3,4.6,,0,1,0,0,,1,0,0,0,0,0,1,0
Skal Labissière,28.0,SAC,4.0,0.0,3.0,1.0,0.5,0.0,0.8,0.3,0.0,1.3,4.45,,0,1,0,0,,0,1,0,0,1,0,0,0
Jalen Bridges,23.0,PHO,8.0,0.0,3.8,0.9,0.286,0.5,0.5,0.0,0.0,1.1,5.43,,0,1,0,0,,1,0,0,0,0,0,1,0
Yuri Collins,23.0,GSW,2.0,0.0,8.0,1.5,0.333,0.0,1.5,2.0,1.0,1.0,11.0,,0,1,0,0,,1,0,0,0,0,1,0,0
Daniss Jenkins,23.0,DET,7.0,0.0,3.3,1.4,0.3,0.3,0.3,0.4,0.0,1.0,3.65,,0,1,0,0,,1,0,0,0,0,1,0,0
Braxton Key,27.0,GSW,3.0,0.0,3.7,1.3,0.0,2.0,0.7,0.0,0.7,1.0,11.0,,0,1,0,0,,0,1,0,0,0,0,1,0
Bryce McGowens,22.0,POR,13.0,0.0,2.5,1.1,0.286,0.5,0.2,0.2,0.1,1.0,4.25,,0,1,0,0,,1,0,0,0,0,0,0,1
Xavier Tillman Sr.,26.0,BOS,33.0,2.0,7.0,1.6,0.245,0.1,1.3,0.2,0.5,1.0,6.7,,0,1,0,0,2.5467,1,0,0,0,0,0,0,0
Luke Travers,23.0,CLE,12.0,0.0,7.3,1.7,0.25,0.2,1.7,0.7,0.2,1.0,4.8,,0,1,0,0,,1,0,0,0,0,0,0,1
Isaiah Crawford,23.0,SAC,15.0,0.0,3.1,0.7,0.455,0.3,0.5,0.1,0.2,0.9,4.45,,0,1,0,0,,1,0,0,0,0,0,1,0
Justin Minaya,25.0,POR,19.0,0.0,5.3,1.1,0.381,0.1,0.5,0.4,0.4,0.9,4.25,,0,1,0,0,,1,0,0,0,0,0,1,0
Anton Watson,24.0,NYK,9.0,0.0,2.4,1.0,0.444,0.0,0.3,0.2,0.1,0.9,9.75,,0,1,0,0,,1,0,0,0,0,0,1,0
D.J. Carton,24.0,TOR,4.0,0.0,8.3,1.8,0.143,0.3,1.0,0.8,0.5,0.8,5.4,,0,1,0,0,,1,0,0,0,0,0,0,1
PJ Dozier,28.0,MIN,9.0,0.0,3.9,0.3,0.667,0.7,0.6,0.6,0.1,0.8,3.6,,0,1,0,0,,0,1,0,0,0,0,0,1
Joe Ingles,37.0,MIN,19.0,1.0,6.0,1.2,0.261,0.0,0.6,1.2,0.1,0.8,3.6,,0,1,0,0,2.2963,0,0,0,1,0,0,1,0
Harrison Ingram,22.0,SAS,5.0,0.0,7.0,0.8,0.5,0.0,1.8,0.6,0.6,0.8,4.4,,0,1,0,0,,1,0,0,0,0,0,1,0
Ulrich Chomche,19.0,TOR,7.0,0.0,4.6,0.7,0.4,0.3,1.1,0.3,0.1,0.7,5.4,,0,1,0,0,,0,0,0,0,1,0,0,0
James Johnson,37.0,IND,12.0,0.0,3.1,0.9,0.364,0.1,0.5,0.3,0.2,0.7,4.2,,0,1,0,0,,0,0,0,1,1,0,0,0
Liam Robbins,25.0,MIL,13.0,0.0,4.4,0.6,0.25,0.8,0.9,0.2,0.4,0.7,4.3,,0,1,0,0,,1,0,0,0,0,0,0,0
Stanley Umude,25.0,MIL,22.0,0.0,3.9,1.2,0.192,0.2,0.8,0.2,0.4,0.7,4.3,,0,1,0,0,,1,0,0,0,0,0,0,1
Cui Yongxi,21.0,BRK,5.0,0.0,2.0,1.4,0.143,0.4,0.4,0.0,0.0,0.6,5.6,,0,1,0,0,,0,0,0,0,0,0,0,1
Tristen Newton,23.0,2TM,8.0,0.0,2.0,1.0,0.125,0.1,0.5,0.3,0.1,0.4,,,0,1,0,0,,1,0,0,0,0,0,0,1
Malevy Leons,25.0,OKC,6.0,0.0,3.5,0.3,0.0,0.7,0.5,0.2,0.0,0.3,4.35,,0,1,0,0,,1,0,0,0,0,0,1,0
Daishen Nix,22.0,MIN,3.0,0.0,4.3,0.3,0.0,0.7,1.3,1.0,0.0,0.3,3.6,,0,1,0,0,,1,0,0,0,0,1,0,0
Terence Davis,27.0,SAC,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.45,,0,1,0,0,,0,1,0,0,0,0,0,1
Jesse Edwards,24.0,MIN,2.0,0.0,2.5,0.0,,0.0,0.0,0.5,0.0,0.0,3.6,,0,1,0,0,,1,0,0,0,0,0,0,0
Mac McClung,26.0,ORL,2.0,0.0,5.0,1.0,0.0,0.0,0.5,1.5,0.0,0.0,3.9,,0,1,0,0,,1,0,0,0,0,0,0,1
Jalen McDaniels,27.0,WAS,4.0,0.0,1.8,0.0,,0.0,0.0,0.3,0.3,0.0,4.7,,0,1,0,0,,0,1,0,0,0,0,1,0
Riley Minix,24.0,SAS,1.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.4,,0,1,0,0,,1,0,0,0,0,0,1,0
Jahlil Okafor,29.0,IND,1.0,0.0,3.0,0.0,,0.0,1.0,1.0,0.0,0.0,4.2,,0,1,0,0,,0,1,0,0,0,0,0,0
Zyon Pullin,23.0,MEM,3.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,0,1,0,0,,1,0,0,0,0,0,0,1
Isaiah Stevens,24.0,MIA,3.0,0.0,2.0,0.7,0.0,0.0,0.7,0.0,0.3,0.0,5.7,,0,1,0,0,,1,0,0,0,0,1,0,0
Terry Taylor,25.0,SAC,3.0,0.0,2.0,0.3,0.0,0.0,0.3,0.7,0.0,0.0,4.45,,0,1,0,0,,1,0,0,0,1,0,0,0
League Average,,,,,,,0.467,,,,,,,,0,1,0,0,,0,0,0,0,0,0,0,0
